 Lines =  lines of LLVM IR generated across all instantiations of the function
 Copies = Number of instantiations of the function (and the percentage of the total). For a generic function
 Function name = Name of function

  Lines         Copies       Function name
   -----         ------       -------------
   30603 (100%)  1021 (100%)  (TOTAL)
    1411 (4.6%)    28 (2.7%)  core::option::Option<T>::map
    1376 (4.5%)    16 (1.6%)  core::iter::traits::iterator::Iterator::advance_by
    1268 (4.1%)     4 (0.4%)  <rodio::conversions::sample_rate::SampleRateConverter<I> as core::iter::traits::iterator::Iterator>::next
    1141 (3.7%)     4 (0.4%)  ambisonic::bstream::bstream
     928 (3.0%)     4 (0.4%)  rodio::conversions::sample_rate::SampleRateConverter<I>::new
     704 (2.3%)     4 (0.4%)  <rodio::conversions::sample_rate::SampleRateConverter<I> as core::iter::traits::iterator::Iterator>::size_hint::{{closure}}
     645 (2.1%)    15 (1.5%)  core::iter::traits::iterator::Iterator::nth
     608 (2.0%)     4 (0.4%)  <rodio::conversions::channels::ChannelCountConverter<I> as core::iter::traits::iterator::Iterator>::next
     537 (1.8%)     4 (0.4%)  <rodio::source::uniform::UniformSourceIterator<I,D> as core::iter::traits::iterator::Iterator>::next
     510 (1.7%)     5 (0.5%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::size_hint
     435 (1.4%)     5 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     352 (1.2%)     4 (0.4%)  <rodio::source::uniform::Take<I> as core::iter::traits::iterator::Iterator>::size_hint
     330 (1.1%)     5 (0.5%)  alloc::vec::Vec<T,A>::extend_desugared
     329 (1.1%)    17 (1.7%)  core::option::Option<T>::unwrap
     326 (1.1%)     4 (0.4%)  rodio::source::uniform::UniformSourceIterator<I,D>::bootstrap
     324 (1.1%)     4 (0.4%)  <rodio::conversions::channels::ChannelCountConverter<I> as core::iter::traits::iterator::Iterator>::size_hint
     292 (1.0%)     4 (0.4%)  rodio::conversions::sample_rate::SampleRateConverter<I>::next_input_frame
     253 (0.8%)    11 (1.1%)  fabled_audio::clip::raw_clip::RawAmbisonicClip::new
     245 (0.8%)     1 (0.1%)  fabled_audio::codecs::encode::waveform::WavWriter::new
     236 (0.8%)     4 (0.4%)  <rodio::conversions::sample_rate::SampleRateConverter<I> as core::iter::traits::iterator::Iterator>::size_hint
     229 (0.7%)     4 (0.4%)  rodio::source::uniform::UniformSourceIterator<I,D>::new
     209 (0.7%)     2 (0.2%)  ambisonic::bmixer::BmixerComposer::play
     209 (0.7%)     1 (0.1%)  fabled_audio::source::ambisonic_output::AmbisonicOutput::new
     203 (0.7%)     3 (0.3%)  core::cmp::max_by
     195 (0.6%)    15 (1.5%)  alloc::boxed::Box<T>::new
     192 (0.6%)     4 (0.4%)  rodio::conversions::channels::ChannelCountConverter<I>::new
     184 (0.6%)     1 (0.1%)  rodio::sink::Sink::append
     179 (0.6%)     1 (0.1%)  fabled_audio::config::output_config::OutputConfig::retrieve_from_host
     178 (0.6%)     5 (0.5%)  core::result::Result<T,E>::unwrap
     176 (0.6%)     4 (0.4%)  <rodio::conversions::channels::ChannelCountConverter<I> as core::iter::traits::iterator::Iterator>::size_hint::{{closure}}
     176 (0.6%)     4 (0.4%)  <rodio::source::uniform::Take<I> as core::iter::traits::iterator::Iterator>::next
     174 (0.6%)     6 (0.6%)  core::fmt::ArgumentV1::new
     172 (0.6%)     2 (0.2%)  std::sync::poison::map_result
     162 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     158 (0.5%)     2 (0.2%)  rodio::source::periodic::periodic
     153 (0.5%)     5 (0.5%)  core::mem::replace
     152 (0.5%)     1 (0.1%)  <fabled_audio::error::decoder_error::AudioDecodingError as core::fmt::Debug>::fmt
     150 (0.5%)     3 (0.3%)  std::sync::mutex::Mutex<T>::new
     148 (0.5%)     2 (0.2%)  core::iter::traits::iterator::Iterator::fold
     148 (0.5%)     2 (0.2%)  rodio::source::delay::delay
     146 (0.5%)     2 (0.2%)  core::iter::traits::iterator::Iterator::reduce
     146 (0.5%)     1 (0.1%)  <rodio::source::take::TakeDuration<I> as core::iter::traits::iterator::Iterator>::next
     145 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     140 (0.5%)     5 (0.5%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::next
     140 (0.5%)     1 (0.1%)  rodio::source::buffered::Buffered<I>::next_frame
     139 (0.5%)     1 (0.1%)  <rodio::source::channel_volume::ChannelVolume<I> as core::iter::traits::iterator::Iterator>::next
     138 (0.5%)     1 (0.1%)  rodio::source::buffered::extract
     128 (0.4%)     1 (0.1%)  <fabled_audio::error::decoder_error::AudioDecodingError as core::fmt::Display>::fmt
     123 (0.4%)     5 (0.5%)  core::option::Option<T>::as_mut
     123 (0.4%)     5 (0.5%)  core::option::Option<T>::as_ref
     120 (0.4%)     2 (0.2%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
     115 (0.4%)     6 (0.6%)  core::ptr::read
     114 (0.4%)     2 (0.2%)  alloc::sync::Arc<T>::new
     114 (0.4%)     1 (0.1%)  <rodio::source::blt::BltFilter<I> as core::iter::traits::iterator::Iterator>::next
     114 (0.4%)     1 (0.1%)  <rodio::source::mix::Mix<I1,I2> as core::iter::traits::iterator::Iterator>::next
     114 (0.4%)     1 (0.1%)  rodio::spatial_sink::SpatialSink::append
     112 (0.4%)     4 (0.4%)  <rodio::source::uniform::UniformSourceIterator<I,D> as core::iter::traits::iterator::Iterator>::size_hint
     108 (0.4%)     2 (0.2%)  core::option::Option<T>::ok_or
     107 (0.3%)     1 (0.1%)  rodio::queue::SourcesQueueInput<S>::append_with_signal
     103 (0.3%)     2 (0.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     103 (0.3%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::take_duration
     102 (0.3%)     1 (0.1%)  rodio::source::channel_volume::ChannelVolume<I>::new
     100 (0.3%)     2 (0.2%)  <rodio::source::delay::Delay<I> as core::iter::traits::iterator::Iterator>::size_hint
      98 (0.3%)     1 (0.1%)  <fabled_audio::error::encoder_error::AudioEncodingError as core::fmt::Debug>::fmt
      97 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
      96 (0.3%)     4 (0.4%)  rodio::conversions::sample_rate::SampleRateConverter<I>::into_inner
      94 (0.3%)     1 (0.1%)  rodio::source::spatial::Spatial<I>::set_positions
      93 (0.3%)     9 (0.9%)  <&T as core::fmt::Debug>::fmt
      92 (0.3%)     1 (0.1%)  <rodio::source::mix::Mix<I1,I2> as core::iter::traits::iterator::Iterator>::size_hint
      91 (0.3%)     1 (0.1%)  <fabled_audio::error::encoder_error::AudioEncodingError as core::fmt::Display>::fmt
      90 (0.3%)     5 (0.5%)  core::iter::adapters::take::Take<I>::new
      90 (0.3%)     2 (0.2%)  alloc::vec::Vec<T,A>::push
      90 (0.3%)     1 (0.1%)  <rodio::source::take::TakeDuration<I> as rodio::source::Source>::current_frame_len
      89 (0.3%)     1 (0.1%)  <fabled_audio::config::output_config::OutputConfig as core::default::Default>::default
      88 (0.3%)     2 (0.2%)  alloc::sync::Weak<T>::inner
      86 (0.3%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as core::iter::traits::iterator::Iterator>::next
      83 (0.3%)     1 (0.1%)  <rodio::source::mix::Mix<I1,I2> as rodio::source::Source>::total_duration
      80 (0.3%)     6 (0.6%)  core::ops::function::FnOnce::call_once
      80 (0.3%)     2 (0.2%)  <rodio::source::periodic::PeriodicAccess<I,F> as core::iter::traits::iterator::Iterator>::next
      80 (0.3%)     2 (0.2%)  alloc::alloc::box_free
      79 (0.3%)     1 (0.1%)  <rodio::source::mix::Mix<I1,I2> as rodio::source::Source>::current_frame_len
      78 (0.3%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::delay
      78 (0.3%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::fade_in
      77 (0.3%)     1 (0.1%)  core::option::Option<T>::filter
      76 (0.2%)     2 (0.2%)  <rodio::source::delay::Delay<I> as core::iter::traits::iterator::Iterator>::next
      74 (0.2%)     1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
      74 (0.2%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::reverb
      73 (0.2%)     1 (0.1%)  <rodio::source::speed::Speed<I> as rodio::source::Source>::total_duration
      73 (0.2%)     1 (0.1%)  fabled_audio::source::ambisonic_output::AmbisonicOutput::play_omni
      69 (0.2%)     1 (0.1%)  rodio::source::pausable::Pausable<I>::set_paused
      68 (0.2%)     1 (0.1%)  <rodio::source::pausable::Pausable<I> as core::iter::traits::iterator::Iterator>::next
      66 (0.2%)     3 (0.3%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
      65 (0.2%)     5 (0.5%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
      65 (0.2%)     5 (0.5%)  core::iter::traits::iterator::Iterator::take
      65 (0.2%)     1 (0.1%)  fabled_audio::source::ambisonic_output::AmbisonicOutput::play_at
      62 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<[fabled_audio::config::output_config::OutputConfig]>
      62 (0.2%)     1 (0.1%)  fabled_audio::source::spatial_source::SpatialAmbisonicSource::set_position
      61 (0.2%)     1 (0.1%)  rodio::queue::SourcesQueueInput<S>::append
      60 (0.2%)     6 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
      60 (0.2%)     5 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
      60 (0.2%)     4 (0.4%)  <rodio::conversions::sample::DataConverter<I,O> as core::iter::traits::iterator::Iterator>::next
